Target,MOC total,SiO2,TiO2,Al2O3,FeOT,MgO,CaO,Na2O,K2O,,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
PG2,95.05,56.97,0.46,25.58,3.83,2.71,0.01,0.4,5.08,95.04,-1.293841721,0.715896292,0.161516205,1.272430644,-0.751860288,0.167012943,-0.037728366,0.32716506,0.657871606,-0.423903157,0.59041622,-0.622052187,0.729080608,-0.669177631,-0.187277848,0.838885473,-0.313981065,-0.141609214,-0.819129436,0.751031611,0.328676684,1.003211272,-0.063551095,-0.174636637,-0.317283615
PG3,94.73,55.07,0.61,25.5,5.17,3.32,0.01,0.37,4.67,94.72,-1.098273861,0.57036878,0.58700506,0.948078295,-0.322803398,0.488047087,0.871900893,-0.237127772,1.500504861,-0.359378756,0.783604208,-0.337292814,1.485433054,0.569335022,1.114583405,-0.564447455,-0.905913413,-0.250630998,-1.129162496,0.550143385,1.900478898,1.982573246,-0.276141927,-0.060231621,-0.608692174
PG3,94.73,55.07,0.61,25.5,5.17,3.32,0.01,0.37,4.67,94.72,-1.110794353,0.607602081,0.564874732,0.980063414,-0.329339589,0.423267755,0.771336745,-0.231089297,1.465426823,-0.274037426,0.824422034,-0.541202148,1.571828172,0.504243002,1.136894535,-0.551866113,-1.019538894,-0.274919496,-0.997384015,0.382399017,1.71068289,1.975020455,-0.163255142,-0.25302862,-0.663626258
PG3,94.73,55.07,0.61,25.5,5.17,3.32,0.01,0.37,4.67,94.72,-1.091881466,0.543227899,0.629038506,0.949723736,-0.365684939,0.526513091,0.918947917,-0.263699075,1.268447927,-0.339517785,0.757067683,-0.682284125,1.55294403,0.193224121,0.80076425,-0.421744385,-0.907445916,-0.203633453,-0.986786583,0.582306833,2.004132309,1.807834226,-0.366796371,-0.047589284,-0.598020965
PG3,94.73,55.07,0.61,25.5,5.17,3.32,0.01,0.37,4.67,94.72,-1.083763765,0.50941586,0.626932043,0.893785685,-0.409666838,0.532290296,1.081756702,-0.295031567,1.267014603,-0.595127835,0.847964759,-0.269638127,1.511745103,0.487754781,1.0438213,-0.646715353,-0.766084117,-0.428561391,-1.044329256,0.525253403,2.074492846,1.974740667,-0.302259318,0.100937665,-0.809839151
PG3,94.73,55.07,0.61,25.5,5.17,3.32,0.01,0.37,4.67,94.72,-1.077752342,0.497202186,0.644197544,0.942534864,-0.259191637,0.506963989,0.948666531,-0.364475051,1.350433328,-0.278513142,0.808634479,-0.616594537,1.677627633,0.382191696,1.102480804,-0.678356795,-0.983249643,-0.301582554,-0.95638165,0.5229147,2.163819246,2.070951008,-0.294804534,-0.019215059,-0.770389654
PG4,95.03,59.39,0.61,21.44,4.88,3.29,0.01,0.71,4.69,95.02,-1.290098389,0.881303194,0.22308066,1.26719227,-0.827167794,0.14040876,0.024641026,0.150659826,1.059240496,-0.109605335,0.361844602,0.00797379,0.20317383,-0.266455137,-0.031465795,0.237550294,-0.191418085,-0.196065849,-0.008880998,0.068813278,-0.048007185,-0.130127135,-0.495689466,-0.606975133,1.805949425
PG4,95.03,59.39,0.61,21.44,4.88,3.29,0.01,0.71,4.69,95.02,-1.291680055,0.893156959,0.211837685,1.284641963,-0.856501242,0.165596452,0.02868151,0.123120585,1.027908081,-0.174964638,0.357285279,-0.045409992,0.225658271,-0.297080148,-0.037646627,0.171539906,-0.081032313,-0.259605274,0.167980953,0.112130055,0.043595681,-0.028651432,-0.487595686,-0.553536659,1.61567303
PG4,95.03,59.39,0.61,21.44,4.88,3.29,0.01,0.71,4.69,95.02,-1.288826773,0.742598045,0.255271685,1.270620829,-0.716225063,0.093326615,0.020271553,0.218304269,0.882992168,-0.311650339,0.488592309,-0.499471895,0.38372627,-0.553379241,-0.257450857,0.073204724,-0.049242175,-0.144795559,0.279682901,0.286137244,0.286116665,0.167543663,-0.478852385,-0.370895896,1.334375431
PG4,95.03,59.39,0.61,21.44,4.88,3.29,0.01,0.71,4.69,95.02,-1.269594097,0.825532306,0.248938683,1.259521199,-0.717117336,0.097447831,0.032114347,0.154983145,1.172962012,-0.302035264,0.500845553,-0.399979587,0.389261017,-0.242015161,-0.063757397,-0.058193967,-0.117168459,-0.204183626,0.234887293,0.114675943,0.170193303,0.139185292,-0.327078083,-0.545293446,1.212354128
